TEAM,march_madness,Conference,YEAR
Kent St.,R64,MAC,2008
Seton Hall,R64,BE,2022
South Dakota St.,R64,Sum,2018
VCU,R64,A10,2017
Massachusetts,R64,A10,2014
Davidson,R64,SC,2013
BYU,R64,WCC,2012
VCU,F4,CAA,2011
Rhode Island,R32,A10,2018
USC,R32,P12,2017
Bucknell,R64,Pat,2013
Boston College,R64,ACC,2009
Vermont,R64,AE,2022
UNC Wilmington,R64,CAA,2017
Davidson,R64,SC,2012
Arizona St.,R64,P12,2019
New Mexico St.,R64,WAC,2018
Vermont,R64,AE,2017
Oregon St.,R64,P12,2016
Georgia St.,R32,SB,2015
Siena,R32,MAAC,2009
Seton Hall,R64,BE,2019
Little Rock,R32,SB,2016
Colorado,R64,P12,2014
South Dakota St.,R64,Sum,2012
Oakland,R64,Sum,2011
Buffalo,R32,MAC,2018
Siena,R64,MAAC,2010
Colorado,R32,P12,2012
Murray St.,R32,OVC,2010
Temple,R64,A10,2008
Marquette,R64,BE,2022
North Dakota St.,R32,Sum,2014
Kentucky,R64,SEC,2008
Buffalo,R64,MAC,2015
UC Santa Barbara,R64,BW,2021
Stephen F. Austin,R32,Slnd,2014
Cleveland St.,R32,Horz,2009
UC Irvine,R32,BW,2019
East Tennessee St.,R64,SC,2017
Valparaiso,R64,Horz,2015
Tulsa,R64,CUSA,2014
San Diego St.,R64,MWC,2012
Liberty,R32,BSth,2019
Manhattan,R64,MAAC,2014
Southern Miss,R64,CUSA,2012
Ohio,R32,MAC,2021
South Alabama,R64,SB,2008
Vermont,R64,AE,2019
Valparaiso,R64,Horz,2013
New Mexico St.,R32,WAC,2022
New Mexico St.,R64,WAC,2014
Chattanooga,R64,SC,2022
St. Bonaventure,R64,A10,2018
South Dakota St.,R64,Sum,2022
Murray St.,R64,OVC,2018
Dayton,R32,A10,2009
Drake,R64,MVC,2021
Bucknell,R64,Pat,2017
Wofford,R64,SC,2010
Colgate,R64,Pat,2021
North Dakota St.,R64,Sum,2009
South Dakota St.,R64,Sum,2016
Akron,R64,MAC,2013
Oral Roberts,R64,Sum,2008
North Texas,R32,CUSA,2021
Yale,R64,Ivy,2019
UC Irvine,R64,BW,2015
New Mexico St.,R64,WAC,2012
Princeton,R64,Ivy,2011
Northern Iowa,R64,MVC,2009
Wofford,R64,SC,2011
Temple,R64,Amer,2016
Houston,R64,CUSA,2010
UNC Greensboro,R64,SC,2018
George Mason,R64,CAA,2008
Colorado St.,R64,MWC,2012
Harvard,R64,Ivy,2015
Lehigh,R32,Pat,2012
Montana,R64,BSky,2018
Memphis,R64,CUSA,2011
Georgia,R64,SEC,2008
Eastern Washington,R64,BSky,2021
New Mexico St.,R64,WAC,2017
UNC Wilmington,R64,CAA,2016
North Carolina Central,R64,MEAC,2014
Sam Houston St.,R64,Slnd,2010
Western Kentucky,R32,SB,2009
Richmond,R32,A10,2022
Cal St. Bakersfield,R64,WAC,2016
Akron,R64,MAC,2009
Liberty,R64,ASun,2021
Mercer,R32,ASun,2014
New Mexico St.,R64,WAC,2013
Florida Gulf Coast,S16,ASun,2013
Winthrop,R64,BSth,2021
Stephen F. Austin,R64,Slnd,2018
Iona,R64,MAAC,2013
Indiana St.,R64,MVC,2011
Georgia St.,R64,SB,2018
Siena,R32,MAAC,2008
Abilene Christian,R32,Slnd,2021
Northeastern,R64,CAA,2019
Northern Kentucky,R64,Horz,2019
Bucknell,R64,Pat,2011
Cal St. Fullerton,R64,BW,2008
Grand Canyon,R64,WAC,2021
Bucknell,R64,Pat,2018
Stephen F. Austin,R64,Slnd,2009
Ohio,R32,MAC,2010
New Mexico St.,R64,WAC,2015
Saint Peter's,E8,MAAC,2022
Cal St. Northridge,R64,BW,2009
Iona,R64,MAAC,2016
Wofford,R64,SC,2015
Northeastern,R64,CAA,2015
South Dakota St.,R64,Sum,2013
Montana,R64,BSky,2012
Saint Louis,R64,A10,2019
Penn,R64,Ivy,2018
Fresno St.,R64,MWC,2016
Morehead St.,R32,OVC,2011
Cornell,R64,Ivy,2009
Louisiana Lafayette,R64,SB,2014
Winthrop,R64,BSth,2008
Harvard,R32,Ivy,2013
San Diego,R32,WCC,2008
Florida Gulf Coast,R64,ASun,2017
Stony Brook,R64,AE,2016
Georgia St.,R64,SB,2019
Winthrop,R64,BSth,2017
New Mexico St.,R64,WAC,2010
East Tennessee St.,R64,ASun,2009
UNC Greensboro,R64,SC,2021
Marshall,R32,CUSA,2018
American,R64,Pat,2009
Chattanooga,R64,SC,2016
Middle Tennessee,R32,CUSA,2016
Wyoming,R64,MWC,2015
Delaware,R64,CAA,2014
Portland St.,R64,BSky,2008
Old Dominion,R64,CUSA,2019
American,R64,Pat,2014
Detroit,R64,Horz,2012
Akron,R64,MAC,2011
Oral Roberts,S16,Sum,2021
LIU Brooklyn,R64,NEC,2011
Iona,R64,MAAC,2017
Eastern Kentucky,R64,OVC,2014
Akron,R64,MAC,2022
Vermont,R64,AE,2012
Northern Colorado,R64,BSky,2011
Montana,R64,BSky,2010
Colgate,R64,Pat,2022
UNC Asheville,R64,BSth,2012
Portland St.,R64,BSky,2009
Saint Peter's,R64,MAAC,2011
Albany,R64,AE,2015
Cornell,R64,Ivy,2008
Georgia St.,R64,SB,2022
Pacific,R64,BW,2013
Morehead St.,R64,OVC,2021
Colgate,R64,Pat,2019
Buffalo,R64,MAC,2016
Eastern Washington,R64,BSky,2015
Boise St.,R64,WAC,2008
Iona,R64,MAAC,2021
Western Michigan,R64,MAC,2014
Loyola MD,R64,MAAC,2012
Delaware,R64,CAA,2022
Montana,R64,BSky,2019
College of Charleston,R64,CAA,2018
Green Bay,R64,Horz,2016
Troy,R64,SB,2017
UAB,R32,CUSA,2015
Northwestern St.,R64,Slnd,2013
Wright St.,R64,Horz,2018
UC Santa Barbara,R64,BW,2010
Drexel,R64,CAA,2021
Weber St.,R64,BSky,2016
UC Santa Barbara,R64,BW,2011
UMBC,R64,AE,2008
Belmont,R64,OVC,2015
Oakland,R64,Sum,2010
Robert Morris,R64,NEC,2009
Coastal Carolina,R64,BSth,2015
Jacksonville St.,R64,ASun,2022
Northern Kentucky,R64,Horz,2017
Longwood,R64,BSth,2022
Kent St.,R64,MAC,2017
UNC Asheville,R64,BSth,2016
Albany,R64,AE,2013
Vermont,R64,AE,2010
Belmont,R64,ASun,2008
Lipscomb,R64,ASun,2018
Yale,R64,Ivy,2022
Bradley,R64,MVC,2019
Iona,R64,MAAC,2018
Abilene Christian,R64,Slnd,2019
Montana St.,R64,BSky,2022
Florida Gulf Coast,R64,ASun,2016
North Dakota,R64,BSky,2017
American,R64,Pat,2008
LIU Brooklyn,R64,NEC,2012
Jacksonville St.,R64,OVC,2017
North Dakota St.,R64,Sum,2015
Morgan St.,R64,MEAC,2009
UMBC,R32,AE,2018
Milwaukee,R64,Horz,2014
Western Kentucky,R64,SB,2013
East Tennessee St.,R64,ASun,2010
Gardner Webb,R64,BSth,2019
Montana,R64,BSky,2013
Morehead St.,R64,OVC,2009
Austin Peay,R64,OVC,2008
UNC Asheville,R64,BSth,2011
Morgan St.,R64,MEAC,2010
Albany,R64,AE,2014
Binghamton,R64,AE,2009
Mount St. Mary's,R64,NEC,2008
Cal St. Fullerton,R64,BW,2018
Weber St.,R64,BSky,2014
Lehigh,R64,Pat,2010
James Madison,R64,CAA,2013
Boston University,R64,AE,2011
North Texas,R64,SB,2010
Cal St. Fullerton,R64,BW,2022
Cleveland St.,R64,Horz,2021
Radford,R64,BSth,2018
Southern,R64,SWAC,2013
Robert Morris,R64,NEC,2010
South Dakota St.,R64,Sum,2017
Hartford,R64,AE,2021
Robert Morris,R64,NEC,2015
UT Arlington,R64,Slnd,2008
Wright St.,R64,Horz,2022
Radford,R64,BSth,2009
Norfolk St.,R32,MEAC,2012
Western Kentucky,R64,SB,2012
North Dakota St.,R64,Sum,2019
UTSA,R64,Slnd,2011
Cal Poly,R64,BW,2014
Texas Southern,R64,SWAC,2022
Wofford,R64,SC,2014
Norfolk St.,R64,MEAC,2022
Mount St. Mary's,R64,NEC,2017
Iona,R64,MAAC,2019
UC Davis,R64,BW,2017
Norfolk St.,R64,MEAC,2021
Lafayette,R64,Pat,2015
Coastal Carolina,R64,BSth,2014
Texas Southern,R64,SWAC,2021
Chattanooga,R64,SC,2009
